,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
87,sir,10,9,10,0,1.00E-06,2,15,0.1,tanh,25,420,0.001053995,304.0828786,0.000348837,0.000348837,0.011593009,0.000401703,0.008717508,0.000454193,0.012808345,converge,0.035861801,0.015457346,0.000454193,0.012808345,0.028967604,0.75648999
88,sir,10,9,10,0,1.00E-06,1,20,0.1,tanh,25,315,0.001313667,170.3270292,0.00038946,0.00038946,0.012321684,0.000587288,0.009971038,0.000286812,0.011263516,converge,0.035685193,0.016428912,0.000286812,0.011263516,0.052327896,0.891647721
89,sir,10,9,10,0,1.00E-06,2,20,0.1,tanh,25,537,0.000928188,391.4397409,0.000376219,0.000376219,0.011027492,0.000478236,0.009046964,0.000554916,0.014496266,converge,0.036311251,0.014703323,0.000554916,0.014496266,0.043228863,0.820458773
90,sir,10,10,10,0,1.00E-06,1,10,0.1,tanh,25,448,0.001480001,182.9932594,0.000352514,0.000352514,0.012717819,0.000730777,0.01248701,0.000624521,0.01676142,converge,0.03621081,0.016957092,0.000624521,0.01676142,0.058149701,1.200845302
91,sir,10,10,10,0,1.00E-06,2,10,0.1,tanh,25,421,0.001645273,202.9914775,0.000425025,0.000425025,0.014109904,0.000519627,0.011180933,0.000897414,0.023165536,converge,0.036899859,0.018813206,0.000897414,0.023165536,0.043244025,1.064467086
92,sir,10,10,10,0,1.00E-06,1,15,0.1,tanh,25,262,0.001386078,105.9413126,0.000521974,0.000521974,0.01399219,0.000193128,0.008030015,0.000753178,0.017776765,converge,0.036814489,0.018656254,0.000753178,0.017776765,0.024993399,0.806511844
93,sir,10,10,10,0,1.00E-06,2,15,0.1,tanh,25,388,0.001623012,189.4432628,0.000498589,0.000498589,0.014615689,0.000615387,0.012383015,0.000664843,0.016114407,converge,0.035807467,0.019487585,0.000664843,0.016114407,0.049219516,1.203477489
94,sir,10,10,10,0,1.00E-06,1,20,0.1,tanh,25,625,0.002576685,369.157856,0.000638083,0.000638083,0.01742307,0.000883539,0.014738959,0.000757182,0.017346389,converge,0.036942822,0.02323076,0.000757182,0.017346389,0.089420036,1.382878871
95,sir,10,10,10,0,1.00E-06,2,20,0.1,tanh,25,406,0.001951034,321.2131162,0.000463804,0.000463804,0.01413385,0.000916853,0.014797704,0.000990269,0.019668528,converge,0.036163791,0.018845133,0.000990269,0.019668528,0.065364019,1.38190915
96,sir,10,4,10,0.05,1.00E-06,1,10,0.1,tanh,25,262,0.003572398,67.8699522,0.000901109,0.001913626,0.019938184,0.001019244,0.019549391,0.001887242,0.032478062,converge,0.034350783,0.026584245,0.001887242,0.032478062,0.103219476,1.898369642
