Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
sir,8,7,1,0,1.00E-06,2,15,0.1,tanh,25,53,1.05E-05,33.37066483,0.035208127,0.035208126,0.121489358,0.013620415,0.047453419,0.033970163,0.138550397,converge,1.06E-05,0.161985811,0.012866798,0.045592268,0.012813436,0.045609093
sir,8,7,1,0,1.00E-06,1,20,0.1,tanh,25,49,8.06E-06,22.92507768,0.03434801,0.034348007,0.117216756,0.013621268,0.047346331,0.03304591,0.129577906,converge,1.33E-05,0.156289008,0.013626109,0.045807599,0.013750271,0.046414236
sir,8,7,1,0,1.00E-06,2,20,0.1,tanh,25,242,0.000268717,148.3737705,2.088427718,2.088427734,0.790694031,3.717198528,0.843412159,0.023758889,0.118068897,converge,0.000492695,1.054258708,0.007676438,0.036776034,0.008138092,0.040227517
sir,8,7,1,0.05,1.00E-06,1,10,0.1,tanh,25,174,0.001424301,80.34764361,0.034250336,0.03611358,0.116806027,0.007052636,0.04955297,0.013748528,0.095117342,converge,0.000656942,0.15574137,0.006222471,0.052871014,0.005379937,0.041952739
sir,8,7,1,0.05,1.00E-06,2,10,0.1,tanh,25,154,0.001352324,93.8981111,0.033853006,0.035665103,0.116604512,0.009568936,0.057509183,0.019607191,0.114648928,converge,0.000646945,0.155472682,0.008780834,0.062531538,0.007338628,0.04599401
sir,8,7,1,0.05,1.00E-06,1,15,0.1,tanh,25,280,0.001410177,130.2084174,0.034941963,0.036890539,0.116686795,0.006652428,0.045755145,0.014331821,0.096482314,converge,0.000660512,0.155582393,0.006672308,0.053988756,0.005781493,0.041862245
sir,8,7,1,0.05,1.00E-06,2,15,0.1,tanh,25,144,0.001405045,90.0232408,0.036041177,0.037984141,0.118964798,0.006771282,0.047192859,0.015771731,0.103323208,converge,0.000659893,0.15861973,0.006208227,0.054940962,0.005271485,0.042246266
sir,8,7,1,0.05,1.00E-06,1,20,0.1,tanh,25,231,0.001390436,105.652102,0.038549743,0.040527777,0.122864986,0.007334712,0.046208034,0.018428763,0.109838493,converge,0.000657109,0.163819982,0.00746411,0.059540721,0.006334084,0.044292557
sir,8,7,1,0.05,1.00E-06,2,20,0.1,tanh,25,251,0.002247658,156.9985671,0.549037755,0.543924395,0.386136501,0.356073119,0.247292413,0.021687226,0.100394166,converge,0.001039153,0.514848668,0.010437817,0.052487626,0.010443633,0.051654209
sir,8,7,1,0.1,1.00E-06,1,10,0.1,tanh,25,136,0.005070176,61.62228179,0.037188986,0.042065883,0.124662449,0.015718024,0.078093365,0.024014051,0.128920189,converge,0.002617282,0.166216599,0.013381239,0.09186203,0.008038082,0.058904703
sir,8,7,1,0.1,1.00E-06,2,10,0.1,tanh,25,312,0.004303344,194.1846471,0.131799224,0.133595546,0.207221818,0.128799527,0.21239465,0.125898251,0.25972395,converge,0.002785263,0.276295757,0.091572178,0.214568693,0.071244023,0.130189751
sir,8,7,1,0.1,1.00E-06,1,15,0.1,tanh,25,223,0.005048328,100.2895031,0.037189069,0.042145658,0.12365693,0.016284445,0.079265513,0.028864077,0.141189354,converge,0.002626303,0.164875907,0.014588849,0.096488234,0.008083819,0.05866944
sir,8,7,1,0.1,1.00E-06,2,15,0.1,tanh,25,302,0.004510007,185.7763412,0.042307376,0.045942827,0.139379317,0.067620646,0.170519917,0.082136396,0.226170582,converge,0.002447573,0.18583909,0.067960944,0.212277963,0.0362367,0.098955035
sir,8,7,1,0.1,1.00E-06,1,20,0.1,tanh,25,153,0.005035199,69.04261351,0.037778433,0.042746838,0.124996385,0.013141534,0.072406295,0.022419252,0.122657358,converge,0.002586913,0.166661847,0.013773173,0.092973254,0.008561235,0.060562324
sir,8,7,1,0.1,1.00E-06,2,20,0.1,tanh,25,621,0.004501337,397.642801,0.264644466,0.267871284,0.290446083,7.990206307,1.042340636,0.097613747,0.245950269,converge,0.002439504,0.387261444,0.049095381,0.176941864,0.027995691,0.088108005
sir,10,9,1,0,1.00E-06,1,10,0.1,tanh,25,61,9.02E-05,36.83598518,0.035931713,0.035931714,0.125880378,0.006707695,0.04049233,0.016125475,0.088701171,converge,4.12E-05,0.167840504,0.005849777,0.032879009,0.005801038,0.032550688
sir,10,9,1,0,1.00E-06,2,10,0.1,tanh,25,66,8.35E-05,54.6217401,0.031420935,0.031420937,0.114131205,0.005855602,0.030907508,0.016180536,0.093482879,converge,3.93E-05,0.152174939,0.005088424,0.030645038,0.005060754,0.030404594
sir,10,9,1,0,1.00E-06,1,15,0.1,tanh,25,144,0.000113941,91.83242726,0.155344415,0.155344416,0.233233826,0.014221987,0.085446762,0.017690259,0.10144272,converge,5.16E-05,0.310978434,0.005858714,0.032798041,0.005879556,0.032677652
sir,10,9,1,0,1.00E-06,2,15,0.1,tanh,25,59,0.000106865,49.0367167,0.034431581,0.034431581,0.121566646,0.006705591,0.032909738,0.017873003,0.098458691,converge,4.80E-05,0.162088861,0.006375466,0.034802766,0.006303409,0.03434466
sir,10,9,1,0,1.00E-06,1,20,0.1,tanh,25,60,0.000102523,37.40224862,0.033804788,0.033804789,0.118524065,0.005780179,0.032385935,0.014869776,0.085132001,converge,4.65E-05,0.158032086,0.00571052,0.032379176,0.005712281,0.032190703
sir,10,9,1,0,1.00E-06,2,20,0.1,tanh,25,255,0.000217379,215.4385474,2.410035399,2.4100354,0.846077886,3.689185828,0.858264051,0.018703228,0.105083538,converge,0.000320511,1.128103848,0.005203701,0.031060767,0.005110285,0.031914499
sir,10,9,1,0.05,1.00E-06,1,10,0.1,tanh,25,68,0.002179474,40.5103538,0.037622642,0.040443573,0.130385096,0.016112065,0.058064121,0.037910829,0.138594386,converge,0.000962775,0.173846795,0.017030793,0.062818678,0.016360515,0.052380277
sir,10,9,1,0.05,1.00E-06,2,10,0.1,tanh,25,65,0.002181039,53.43540287,0.033982201,0.036606121,0.123776179,0.013144714,0.051220646,0.03691646,0.144700639,converge,0.000973683,0.165034906,0.012911285,0.055604751,0.012441463,0.047627152
sir,10,9,1,0.05,1.00E-06,1,15,0.1,tanh,25,298,0.002238931,184.9427974,2.607422741,2.602276408,0.848069673,1.375258092,0.586213975,0.052118482,0.171905704,converge,0.001028994,1.130759565,0.016824142,0.05983148,0.014041632,0.047572406
sir,10,9,1,0.05,1.00E-06,2,15,0.1,tanh,25,58,0.002177195,48.02364469,0.035957661,0.038727204,0.126826422,0.01584239,0.05191667,0.042411005,0.149687658,converge,0.000969422,0.169101897,0.016403602,0.059628192,0.016000591,0.051333512
