tB,tS,tP,tD,t,Run,Sf,F,tV,dBdt,dSdt,dPdt,dVdt
127.1694264875646,196.96494703430966,2.489662676393312,0.022821576763485486,42.0,6,525.0,0.11,4.819999999999998,1.3345332724703984,-4.849661303470153,0.14860739767535092,0.11
130.5861538835362,183.13876777477893,2.9538548987302917,0.02135922330097088,45.0,6,525.0,0.11,5.149999999999999,0.948364651797029,-4.375127071453519,0.1606799634147105,0.11
132.89089338635029,170.67084957675874,3.4525930521616295,0.020072992700729934,48.0,6,525.0,0.11,5.479999999999999,0.593454690481747,-3.943873037263236,0.1716037541578006,0.11
134.17935690305768,159.43454334173964,3.982132998971513,0.018932874354561105,51.0,6,525.0,0.11,5.81,0.2710026698102211,-3.5535811779488133,0.18118398771654806,0.11
134.55006656660615,149.31147575398415,4.538183536474658,0.017915309446254076,54.0,6,525.0,0.11,6.139999999999999,-0.018308654923129726,-3.201169071797268,0.18925185651603313,0.11
134.10285011115437,140.19296790950403,5.115993907670308,0.0170015455950541,57.0,6,525.0,0.11,6.469999999999999,-0.27429157266735743,-2.883319998435881,0.19567073738470475,0.11
132.93735185660645,131.98026572995835,5.710458089799217,0.0161764705882353,60.0,6,525.0,0.11,6.799999999999999,-0.4972563633142638,-2.596767739775675,0.20034110363311344,0.11
131.15154363752606,124.58414604709962,6.316231472555572,0.015427769985974758,63.0,6,525.0,0.11,7.129999999999998,-0.6880050851606723,-2.3384398604638665,0.20320382393811282,0.11
128.84028607220586,117.92422770149716,6.927854748415723,0.014745308310991962,66.0,6,525.0,0.11,7.459999999999998,-0.8478029740551362,-2.1055201881574197,0.20424166089458856,0.11
126.09401212061954,111.9281688467651,7.539879530500751,0.014120667522464702,69.0,6,525.0,0.11,7.789999999999998,-0.9783262059691501,-1.8954657776137367,0.20347893913181914,0.11
122.99759672969097,106.53085357147204,8.146990376872665,0.013546798029556655,72.0,6,525.0,0.11,8.119999999999997,-1.0815905570077604,-1.7059993733002434,0.2009794569004634,0.11
119.6294615274921,101.673623178129,8.744118053217134,0.013017751479289946,75.0,6,525.0,0.11,8.449999999999998,-1.1598680711825464,-1.5350898957775296,0.19684283427481367,0.11
116.06093729737003,97.30357332207163,9.326539879478535,0.012528473804100231,78.0,6,525.0,0.11,8.779999999999998,-1.2155994041495106,-1.3809278481354097,0.1911995782306305,0.11
112.3558874449834,93.37292772300749,9.889963759749,0.012074643249176733,81.0,6,525.0,0.11,9.109999999999998,-1.2513084199982414,-1.2418998654762934,0.18420519794666845,0.11
108.57057752820288,89.83848646246112,10.430593593953132,0.011652542372881358,84.0,6,525.0,0.11,9.439999999999998,-1.2695242888266942,-1.1165644996244621,0.17603374876144295,0.11
104.75376261241301,86.6611438028618,10.945174950935915,0.011258955987717504,87.0,6,525.0,0.11,9.769999999999998,-1.272714557186257,-1.0036303051523712,0.16687117952656327,0.11
100.94695743663857,83.805467837638,11.431020943927356,0.010891089108910894,90.0,6,525.0,0.11,10.099999999999998,-1.263231112952626,-0.9019366248605776,0.1569088431533185,0.11
97.1848466831475,81.23933335973392,11.886019216369473,0.010546500479386387,93.0,6,525.0,0.11,10.429999999999998,-1.2432694969756826,-0.8104369773406193,0.14633746832747208,0.11
93.49579934601894,78.93360125169077,12.308621912971198,0.010223048327137548,96.0,6,525.0,0.11,10.759999999999998,-1.2148410681332311,-0.7281850040291671,0.13534184120777604,0.11
89.90244817305222,76.86183642544637,12.697820951882747,0.009918845807033366,99.0,6,525.0,0.11,11.089999999999998,-1.1797567375200702,-0.6543225804889081,0.12409636199938673,0.11
86.42230294515704,75.00005847374341,13.053111402172776,0.009632224168126096,102.0,6,525.0,0.11,11.419999999999998,-1.1396205938800033,-0.5880698206402943,0.11276157001641063,0.11
83.06837019280876,73.32652002300374,13.37444592840666,0.009361702127659575,105.0,6,525.0,0.11,11.749999999999998,-1.095831524482676,-0.5287166622285735,0.1014816532567388,0.11
79.84975850155499,71.82150817789531,13.662183190596188,0.009105960264900664,108.0,6,525.0,0.11,12.079999999999998,-1.049590989944023,-0.47561574236450976,0.0903829050941769,0.11
76.7722534102783,70.4671657971039,13.917032929596418,0.008863819500402903,111.0,6,525.0,0.11,12.409999999999998,-1.0019152045017843,-0.4281763244361292,0.07957303704855428,0.11
73.83885108949535,69.24732964309878,14.140000130724342,0.008634222919937207,114.0,6,525.0,0.11,12.739999999999998,-0.9536502107172423,-0.3858590620071567,0.06914122850494198,0.11
71.05024409078615,68.14738321401586,14.332330266223014,0.008416220351951035,117.0,6,525.0,0.11,13.069999999999999,-0.9054885746300886,-0.3481714322556324,0.05915877564481553,0.11
68.40525586423955,67.15412244230293,14.49545720969018,0.008208955223880599,120.0,6,525.0,0.11,13.399999999999999,-0.8579866853532868,-0.31466370137198485,0.04968019757096426,0.11
65.90122348494558,66.25563282888572,14.630954983260333,0.008011653313911146,123.0,6,525.0,0.11,13.729999999999999,-0.8115818848679436,-0.2849253183788334,0.04074466414105221,0.11
63.53433002667375,65.44117682293387,14.740494134956101,0.007823613086770983,126.0,6,525.0,0.11,14.059999999999999,-0.7666088700444691,-0.25858165841216874,0.03237762301692332,0.11
61.299889033108784,64.70109070341529,14.825803046141745,0.0076441973592772765,129.0,6,525.0,0.11,14.389999999999999,-0.7233149719737573,-0.2352910575720033,0.02459252122527117,0.11
59.1925854836231,64.02668964376048,14.888634672905711,0.007472826086956523,132.0,6,525.0,0.11,14.719999999999997,-0.6818741234206619,-0.214742093259511,0.017392535170637824,0.11
