dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-30.17348,-0.6795319,0.95443153,0.740197,0.06613309,-0.00417819,0.0,2
-28.308193,-0.649426,0.8962132,0.69482136,0.061044294,-0.002175445,0.12,2
-26.603632,-0.62088865,0.8429053,0.65316474,0.056511052,-0.00039619446,0.24,2
-25.037682,-0.5938156,0.7938544,0.6147486,0.05244419,0.0011923781,0.36,2
-23.592556,-0.5681109,0.7485311,0.579183,0.048773378,0.0026167554,0.48,2
-22.253763,-0.5436868,0.7065016,0.5461459,0.0454424,0.0038985927,0.6,2
-21.009323,-0.52046317,0.66740525,0.5153686,0.04240567,0.0050557638,0.72,2
-19.849216,-0.49836624,0.63093877,0.48662373,0.039625827,0.006103143,0.84,2
-18.76498,-0.47732827,0.5968447,0.45971763,0.03707189,0.0070532374,0.96,2
-17.749388,-0.45728713,0.5649028,0.43448353,0.03471795,0.007916643,1.08,2
-16.796213,-0.43818524,0.534922,0.41077673,0.032542124,0.0087023815,1.2,2
-15.90007,-0.4199699,0.506737,0.38847113,0.030525818,0.009418219,1.3199999999999998,2
-15.056239,-0.40259176,0.48020205,0.36745545,0.028653082,0.010070847,1.44,2
-14.260573,-0.38600555,0.4551889,0.34763142,0.026910141,0.010666101,1.56,2
-13.5094,-0.37016863,0.43158367,0.32891154,0.025285048,0.011209075,1.68,2
-12.799455,-0.35504177,0.40928483,0.31121752,0.023767382,0.011704235,1.7999999999999998,2
-12.127811,-0.34058812,0.3882012,0.29447898,0.02234796,0.012155549,1.92,2
-11.491842,-0.32677317,0.36825064,0.27863228,0.0210187,0.0125665115,2.04,2
-10.889168,-0.3135648,0.34935886,0.26361987,0.019772414,0.012940255,2.16,2
-10.317634,-0.3009327,0.3314584,0.24938922,0.018602712,0.01327956,2.28,2
-9.775281,-0.28884846,0.31448764,0.23589234,0.017503867,0.013586949,2.4,2
-9.260317,-0.27728528,0.29839024,0.22308534,0.016470747,0.013864681,2.52,2
-8.771101,-0.2662181,0.2831145,0.21092781,0.015498707,0.014114804,2.64,2
-8.306118,-0.25562304,0.26861268,0.19938244,0.014583551,0.014339179,2.76,2
-7.8639755,-0.2454777,0.25484088,0.1884147,0.01372147,0.01453949,2.88,2
