dBdt,dSdt,dPdt,dVdt,t,Run
4.7579722,29.304592,-0.33028924,0.11000001,3.0,4
5.5353727,1.9636215,-0.29370493,0.11000001,6.0,4
5.406522,-5.335764,-0.23328766,0.11000001,9.0,4
4.94721,-7.382999,-0.15344314,0.11000001,12.0,4
4.3610907,-7.4451184,-0.060264427,0.11000001,15.0,4
3.801791,-6.835219,0.02974992,0.11000001,18.0,4
3.3408697,-6.15241,0.10349089,0.11000001,21.0,4
2.9856179,-5.624167,0.15596,0.11000001,24.0,4
2.7142866,-5.298546,0.18796365,0.11000001,27.0,4
2.4976957,-5.1488223,0.20305459,0.11000001,30.0,4
2.3086586,-5.1238375,0.20558307,0.11000001,33.0,4
2.1251981,-5.1699333,0.19974613,0.11000001,36.0,4
1.9311076,-5.239761,0.18918674,0.11000001,39.0,4
1.7154919,-5.2949862,0.17689496,0.11000001,42.0,4
1.4720724,-5.3066,0.16521429,0.11000001,45.0,4
1.1983883,-5.2541065,0.15589254,0.11000001,48.0,4
0.8951129,-5.1245823,0.15013182,0.11000001,51.0,4
0.5653897,-4.911558,0.1486487,0.11000001,54.0,4
0.21418187,-4.6140904,0.1517234,0.11000001,57.0,4
-0.15219443,-4.2356853,0.15924977,0.11000001,60.0,4
-0.5266473,-3.783637,0.17079139,0.11000001,63.0,4
-0.9016858,-3.2681065,0.18563662,0.11000001,66.0,4
-1.2697827,-2.7016094,0.20286451,0.11000001,69.0,4
-1.62368,-2.0983548,0.22141397,0.11000001,72.0,4
-1.956427,-1.4737598,0.24015136,0.11000001,75.0,4
-2.2616096,-0.84415853,0.25793493,0.11000001,78.0,4
-2.5333033,-0.22610995,0.27368647,0.11000001,81.0,4
-2.7660952,0.36369604,0.2864312,0.11000001,84.0,4
-2.9551601,0.9091522,0.29534963,0.11000001,87.0,4
-3.0962822,1.3951796,0.2998037,0.11000001,90.0,4
-3.186059,1.8082416,0.2993545,0.11000001,93.0,4
-3.221987,2.137025,0.2937709,0.11000001,96.0,4
-3.2027185,2.3728757,0.28301832,0.11000001,99.0,4
-3.1282303,2.5103648,0.2672606,0.11000001,102.0,4
-2.9999917,2.5474598,0.24683121,0.11000001,105.0,4
-2.821012,2.485764,0.22221847,0.11000001,108.0,4
-2.595846,2.3303194,0.19403154,0.11000001,111.0,4
-2.3304493,2.089324,0.16297704,0.11000001,114.0,4
-2.0319624,1.7737204,0.12983097,0.11000001,117.0,4
-1.708439,1.3965037,0.09540047,0.11000001,120.0,4
-1.3685057,0.9721824,0.060502622,0.11000001,123.0,4
-1.0209873,0.51589584,0.02593029,0.11000001,126.0,4
-0.6746171,0.04303802,-0.0075654592,0.11000001,129.0,4
-0.33768448,-0.43155795,-0.039297562,0.11000001,132.0,4
-0.017781356,-0.89401096,-0.0686693,0.11000001,135.0,4
0.278362,-1.3317827,-0.09516735,0.11000001,138.0,4
0.54508054,-1.7339495,-0.11838677,0.11000001,141.0,4
0.7778045,-2.0914016,-0.13802241,0.11000001,144.0,4
0.9731366,-2.396881,-0.15387788,0.11000001,147.0,4
1.1288229,-2.6450984,-0.16585582,0.11000001,150.0,4
1.2437077,-2.8325057,-0.17395106,0.11000001,153.0,4
1.3176659,-2.957358,-0.17824857,0.11000001,156.0,4
1.3515365,-3.0195384,-0.17891195,0.11000001,159.0,4
1.3469709,-3.0203216,-0.17616844,0.11000001,162.0,4
1.3063828,-2.9623408,-0.17030387,0.11000001,165.0,4
1.2327787,-2.8493178,-0.16165212,0.11000001,168.0,4
1.1296961,-2.685932,-0.15057941,0.11000001,171.0,4
1.001081,-2.477698,-0.13748273,0.11000001,174.0,4
0.8511568,-2.2306979,-0.122769944,0.11000001,177.0,4
0.6843754,-1.9515983,-0.10686518,0.11000001,180.0,4
0.505299,-1.647309,-0.09018459,0.11000001,183.0,4
0.3184996,-1.3250368,-0.07314569,0.11000001,186.0,4
0.12849692,-0.99200666,-0.05614779,0.11000001,189.0,4
-0.060320772,-0.65539706,-0.039568372,0.11000001,192.0,4
-0.24379683,-0.32220888,-0.02376461,0.11000001,195.0,4
-0.41804293,0.0009228239,-0.009056797,0.11000001,198.0,4
-24.24281,352.1796,1.8137301,0.11000001,0.0,5
5.1126933,30.571966,-0.32694232,0.11000001,3.0,5
5.651905,1.2651303,-0.26593816,0.11000001,6.0,5
5.3680773,-6.2574153,-0.1921993,0.11000001,9.0,5
4.7824388,-8.113486,-0.099906355,0.11000001,12.0,5
4.129683,-7.966401,0.0002469387,0.11000001,15.0,5
3.5626297,-7.246688,0.088905945,0.11000001,18.0,5
3.1280844,-6.534703,0.15477704,0.11000001,21.0,5
2.8111005,-6.012446,0.19610229,0.11000001,24.0,5
2.5766072,-5.6938963,0.21634266,0.11000001,27.0,5
2.3895273,-5.534175,0.22068134,0.11000001,30.0,5
2.2220101,-5.4767337,0.21420677,0.11000001,33.0,5
2.0549364,-5.4715853,0.20119976,0.11000001,36.0,5
1.877165,-5.4807377,0.18497229,0.11000001,39.0,5
1.6839007,-5.4783244,0.16794595,0.11000001,42.0,5
1.4749296,-5.448569,0.15180308,0.11000001,45.0,5
1.2530173,-5.3833017,0.13764676,0.11000001,48.0,5
1.0224692,-5.279474,0.12614214,0.11000001,51.0,5
0.788117,-5.137362,0.11761563,0.11000001,54.0,5
0.554559,-4.959074,0.112135224,0.11000001,57.0,5
0.3257186,-4.7475667,0.109574735,0.11000001,60.0,5
0.10469482,-4.506284,0.10964849,0.11000001,63.0,5
-0.1063134,-4.2388034,0.111957006,0.11000001,66.0,5
-0.3058305,-3.9488883,0.116021246,0.11000001,69.0,5
-0.49292326,-3.6405373,0.12131529,0.11000001,72.0,5
-0.6670167,-3.3180265,0.12729323,0.11000001,75.0,5
-0.82773805,-2.986026,0.13343553,0.11000001,78.0,5
-0.97471285,-2.6495278,0.13925833,0.11000001,81.0,5
-1.1075712,-2.3137238,0.14434418,0.11000001,84.0,5
-1.2258301,-1.9839628,0.14835183,0.11000001,87.0,5
-1.329003,-1.6654038,0.1510234,0.11000001,90.0,5
-1.4165524,-1.3629241,0.15218689,0.11000001,93.0,5
-1.4880404,-1.0809404,0.1517419,0.11000001,96.0,5
-1.5431296,-0.8231626,0.1496679,0.11000001,99.0,5
-1.5816497,-0.59257007,0.14599533,0.11000001,102.0,5
-1.6036799,-0.39121896,0.14081317,0.11000001,105.0,5
-1.6095308,-0.2203798,0.13424185,0.11000001,108.0,5
-1.5997434,-0.08051953,0.12643102,0.11000001,111.0,5
-1.5751455,0.028743489,0.11754574,0.11000001,114.0,5
-1.536733,0.10839856,0.107765555,0.11000001,117.0,5
