dBdt,dSdt,dPdt,dVdt,t,Run
0.43224472,-3.3730526,0.17419979,0.11000001,54.0,3
0.21228155,-3.105922,0.17658496,0.11000001,57.0,3
0.009754181,-2.8479168,0.17844582,0.11000001,60.0,3
-0.17462236,-2.6007938,0.17967868,0.11000001,63.0,3
-0.34051523,-2.3659382,0.18016599,0.11000001,66.0,3
-0.48788032,-2.1444793,0.17979221,0.11000001,69.0,3
-0.6169082,-1.9372848,0.17846233,0.11000001,72.0,3
-0.7280016,-1.7449923,0.17610873,0.11000001,75.0,3
-0.8217454,-1.567967,0.17270178,0.11000001,78.0,3
-0.89887065,-1.406373,0.16824985,0.11000001,81.0,3
-0.96027446,-1.2601085,0.16280258,0.11000001,84.0,3
-1.0069516,-1.1288775,0.15644294,0.11000001,87.0,3
-1.0399964,-1.0121728,0.14928395,0.11000001,90.0,3
-1.0605731,-0.9093302,0.14145952,0.11000001,93.0,3
-1.0698773,-0.8195393,0.13311824,0.11000001,96.0,3
-1.0691159,-0.74189854,0.12441249,0.11000001,99.0,3
-1.0594953,-0.67542344,0.11549457,0.11000001,102.0,3
-1.0421778,-0.61909544,0.1065083,0.11000001,105.0,3
-1.018277,-0.571891,0.0975865,0.11000001,108.0,3
-0.98883057,-0.5328037,0.08884589,0.11000001,111.0,3
-0.95483464,-0.5008433,0.080386885,0.11000001,114.0,3
-0.917164,-0.4750762,0.07229242,0.11000001,117.0,3
-0.87663144,-0.45462373,0.064626664,0.11000001,120.0,3
-0.8339701,-0.43869165,0.05743856,0.11000001,123.0,3
-0.7898181,-0.42652515,0.050761126,0.11000001,126.0,3
-0.7447317,-0.41747218,0.044613563,0.11000001,129.0,3
-0.6992121,-0.41091302,0.039003316,0.11000001,132.0,3
-0.65367156,-0.4063328,0.033928234,0.11000001,135.0,3
-0.60847604,-0.40326875,0.02937786,0.11000001,138.0,3
-0.56390756,-0.40131098,0.025334274,0.11000001,141.0,3
-0.5202211,-0.40010935,0.021775872,0.11000001,144.0,3
-0.47761795,-0.39937207,0.018677413,0.11000001,147.0,3
-0.43625972,-0.3988412,0.016009742,0.11000001,150.0,3
-0.39625317,-0.39830896,0.013743644,0.11000001,153.0,3
-0.3577056,-0.3976063,0.011848538,0.11000001,156.0,3
-0.32066822,-0.39659762,0.010293568,0.11000001,159.0,3
-0.28518942,-0.3951696,0.009049534,0.11000001,162.0,3
-0.2512813,-0.39323273,0.008087073,0.11000001,165.0,3
-0.21896115,-0.3907353,0.0073785074,0.11000001,168.0,3
-0.18820113,-0.3876202,0.0068970905,0.11000001,171.0,3
-0.15899436,-0.38386136,0.006618617,0.11000001,174.0,3
-0.13130036,-0.37944505,0.0065196385,0.11000001,177.0,3
-0.10508621,-0.37437174,0.0065781376,0.11000001,180.0,3
-0.0803015,-0.36863217,0.0067757214,0.11000001,183.0,3
-0.05690387,-0.36225832,0.0070935837,0.11000001,186.0,3
-0.034836207,-0.3552481,0.0075154183,0.11000001,189.0,3
-0.014044195,-0.34764272,0.008026697,0.11000001,192.0,3
0.0055192164,-0.33944824,0.008613574,0.11000001,195.0,3
0.023923635,-0.33071703,0.009264358,0.11000001,198.0,3
-4.7179303,294.4082,0.15199275,0.11000001,0.0,4
2.1935291,36.532856,0.009388391,0.11000001,3.0,4
