dTdt,dEBdt,dStydt,dH2dt,dBeEtdt,dToMedt,t,Run
-1.7575878,-0.0643187,0.041519336,0.026400512,0.0064750477,0.015792152,5.88,1
-1.6522688,-0.06154295,0.039117254,0.024094006,0.0063007837,0.015667412,6.0,1
-1.5518787,-0.058895055,0.036835976,0.021904727,0.0061317943,0.01554623,6.12,1
-1.4561255,-0.05636807,0.03466896,0.019826481,0.005967671,0.015428523,6.24,1
-1.3647614,-0.05395363,0.032609075,0.017852167,0.005807966,0.015314092,6.359999999999999,1
-1.2775261,-0.05164661,0.030650891,0.015976548,0.0056522717,0.015202802,6.48,1
-1.1941882,-0.049440812,0.028788673,0.014194124,0.0055004987,0.015094473,6.6,1
-1.1145339,-0.04733037,0.027017055,0.012499783,0.0053521586,0.014989054,6.72,1
-1.0383457,-0.045310248,0.025331262,0.0108886035,0.005207123,0.014886307,6.84,1
-0.9654603,-0.043375235,0.023726374,0.009355789,0.005065172,0.014786187,6.96,1
-0.895658,-0.04152083,0.022197757,0.007897251,0.0049259276,0.014688508,7.08,1
-0.8288039,-0.039742745,0.020742068,0.006508866,0.004789331,0.0145932175,7.199999999999999,1
-0.76471454,-0.038036574,0.019354865,0.005187277,0.004655242,0.01450017,7.319999999999999,1
-0.7032469,-0.03639802,0.018031957,0.003928203,0.004523372,0.014409228,7.439999999999999,1
-0.64425784,-0.034824587,0.016771361,0.0027286387,0.0043936716,0.014320356,7.56,1
-0.58762246,-0.033311896,0.015567895,0.0015853884,0.004265912,0.01423341,7.68,1
-0.5332078,-0.031856872,0.014419908,0.0004954479,0.004139983,0.014148295,7.8,1
-0.4808969,-0.030456604,0.013323871,-0.0005440914,0.004015796,0.014064927,7.92,1
-0.43057695,-0.02910805,0.012277434,-0.0015360737,0.0038932608,0.013983236,8.04,1
-0.38213512,-0.0278082,0.011277068,-0.0024826087,0.0037721884,0.013903156,8.16,1
-0.3354908,-0.026555358,0.010321821,-0.0033860612,0.0036525892,0.013824592,8.28,1
-0.29053313,-0.025346097,0.009408053,-0.0042491797,0.0035343133,0.0137474425,8.4,1
-0.24718353,-0.024178661,0.008534185,-0.0050736265,0.0034172514,0.01367166,8.52,1
-0.20535134,-0.023050634,0.0076976814,-0.0058616386,0.0033014137,0.013597195,8.64,1
-0.16496198,-0.021960203,0.00689689,-0.0066151973,0.003186611,0.013523931,8.76,1
-0.12593083,-0.020904953,0.0061299726,-0.0073362207,0.003072903,0.013451855,8.879999999999999,1
-0.08820952,-0.019883303,0.005395093,-0.008026051,0.0029601902,0.013380903,9.0,1
-0.051713403,-0.018893708,0.0046904143,-0.0086862855,0.0028483232,0.013310999,9.12,1
-0.01638204,-0.017934378,0.0040148334,-0.009318779,0.0027373917,0.01324214,9.24,1
0.017851075,-0.017003497,0.0033662936,-0.009925001,0.0026272961,0.013174182,9.36,1
0.051020198,-0.016099963,0.0027439129,-0.010505783,0.002517937,0.013107161,9.48,1
0.08319989,-0.015222255,0.0021457071,-0.011062946,0.002409374,0.013041033,9.6,1
0.11444053,-0.014368855,0.0015710153,-0.011597546,0.0023014678,0.0129756825,9.72,1
0.14477235,-0.01353887,0.001018184,-0.012110923,0.0021942682,0.012911135,9.84,1
0.17425378,-0.012730571,0.00048644163,-0.01260391,0.0020876657,0.012847314,9.96,1
0.20291705,-0.011943423,-2.5571251e-05,-0.013077688,0.0019816305,0.012784211,10.08,1
0.23082668,-0.011175816,-0.0005187731,-0.013532802,0.0018762122,0.012721796,10.2,1
0.25799674,-0.010427245,-0.0009943396,-0.013971106,0.0017712816,0.012659997,10.32,1
0.28448167,-0.009696726,-0.0014527851,-0.014392917,0.0016669083,0.012598802,10.44,1
0.3102895,-0.008983037,-0.0018948811,-0.014798748,0.0015630524,0.012538201,10.56,1
0.33547667,-0.008285435,-0.002322134,-0.015190261,0.0014596742,0.0124781085,10.68,1
0.36008146,-0.007602876,-0.0027351687,-0.015567617,0.0013566841,0.012418587,10.8,1
0.38409382,-0.0069352714,-0.0031343887,-0.015931483,0.0012541917,0.012359541,10.92,1
0.40758023,-0.0062809824,-0.0035205293,-0.016282855,0.0011520077,0.012300935,11.04,1
0.4305588,-0.005640039,-0.003894472,-0.016622337,0.0010503015,0.012242797,11.16,1
0.45305377,-0.005011339,-0.004256805,-0.016950442,0.00094893354,0.01218511,11.28,1
0.4750691,-0.0043947333,-0.004607969,-0.01726787,0.0008479637,0.012127781,11.4,1
0.49665323,-0.00378915,-0.0049486617,-0.017574625,0.0007473421,0.012070855,11.52,1
0.5178061,-0.0031944693,-0.005279508,-0.017871855,0.00064705894,0.0120143015,11.64,1
0.5385741,-0.0026092315,-0.005601059,-0.0181602,0.00054702454,0.011958081,11.76,1
0.55895114,-0.0020341224,-0.005913719,-0.01843947,0.0004473882,0.011902208,11.88,1
0.5789755,-0.0014679795,-0.006218002,-0.018710684,0.0003479808,0.011846637,12.0,1
-28.872679,-0.70832473,0.65488005,0.65073663,0.044066645,0.0069410694,0.0,2
-26.650278,-0.654788,0.60687816,0.601209,0.03773089,0.008303711,0.12,2
-24.691946,-0.60793054,0.5645469,0.5575014,0.03250065,0.009474195,0.24,2
-22.952175,-0.5665229,0.5268699,0.5185952,0.028154328,0.010476694,0.36,2
-21.39541,-0.5296202,0.4930651,0.48369968,0.024521455,0.011332602,0.48,2
-19.99349,-0.49648526,0.46252015,0.45219317,0.02146938,0.012060738,0.6,2
-18.72389,-0.46653733,0.43475145,0.4235802,0.018893743,0.012677436,0.72,2
-17.568306,-0.43931082,0.40936986,0.39746094,0.016711555,0.013197033,0.84,2
-16.511787,-0.41443098,0.3860607,0.37350956,0.014856382,0.013631951,0.96,2
-15.541974,-0.39159086,0.36456537,0.35145783,0.013274501,0.01399303,1.08,2
-14.648534,-0.37053764,0.34467012,0.33108217,0.011922036,0.014289704,1.2,2
-13.822823,-0.3510625,0.32619673,0.31219614,0.010763232,0.014530256,1.3199999999999998,2
-13.057458,-0.3329877,0.30899426,0.2946408,0.0097684,0.0147218,1.44,2
-12.346208,-0.31616548,0.2929347,0.27828196,0.008913053,0.014870653,1.56,2
-11.683662,-0.30046856,0.27790862,0.2630033,0.008176578,0.014982303,1.68,2
-11.065179,-0.28578815,0.2638217,0.24870467,0.0075418693,0.015061579,1.7999999999999998,2
-10.486696,-0.27203065,0.25059164,0.23529962,0.0069944765,0.015112682,1.92,2
-9.944683,-0.2591146,0.23814683,0.22271177,0.0065220995,0.015139346,2.04,2
-9.436009,-0.24696791,0.22642398,0.21087389,0.0061144084,0.015144825,2.16,2
-8.957944,-0.2355279,0.21536754,0.19972685,0.0057625067,0.015131965,2.28,2
-8.50802,-0.22473961,0.20492794,0.18921794,0.0054589007,0.015103285,2.4,2
-8.084088,-0.21455313,0.19506037,0.17929965,0.0051969723,0.015060975,2.52,2
-7.6841745,-0.20492445,0.18572514,0.16993059,0.004971397,0.015007039,2.64,2
-7.3065443,-0.19581468,0.17688671,0.16107169,0.00477713,0.014943153,2.76,2
-6.9496017,-0.18718733,0.16851215,0.152689,0.004610141,0.014870846,2.88,2
-6.6119394,-0.17901002,0.16057174,0.14475113,0.0044668363,0.014791479,3.0,2
-6.2922263,-0.17125443,0.1530388,0.13722938,0.0043440526,0.014706139,3.12,2
-5.989295,-0.1638931,0.14588796,0.13009799,0.004239102,0.014615911,3.24,2
-5.7020736,-0.15690196,0.13909742,0.123332724,0.0041496563,0.014521694,3.36,2
-5.429555,-0.15025873,0.13264565,0.11691208,0.004073645,0.014424298,3.48,2
-5.1708417,-0.1439424,0.12651336,0.11081512,0.004009198,0.014324402,3.6,2
-4.92509,-0.13793437,0.12068271,0.10502389,0.0039549614,0.0142226,3.72,2
-4.6915216,-0.13221692,0.11513691,0.09952033,0.003909323,0.014119442,3.84,2
-4.4694357,-0.12677369,0.10986056,0.094288826,0.0038712276,0.014015384,3.96,2
-4.258157,-0.12158988,0.10483996,0.089314416,0.0038395615,0.01391087,4.08,2
-4.0570745,-0.11665097,0.10006038,0.08458288,0.0038134481,0.01380619,4.2,2
-3.8656206,-0.111943886,0.0955098,0.08008139,0.0037920321,0.013701663,4.32,2
-3.683259,-0.10745685,0.09117672,0.07579765,0.003774557,0.013597619,4.44,2
-3.5094998,-0.10317816,0.08704983,0.071720265,0.0037605749,0.013494204,4.56,2
-3.343874,-0.09909658,0.08311854,0.0678389,0.0037493594,0.01339163,4.68,2
-3.1859417,-0.0952029,0.07937368,0.064142905,0.003740542,0.013290052,4.8,2
-3.0353003,-0.09148665,0.07580524,0.06062317,0.0037335958,0.013189611,4.92,2
-2.891587,-0.087939695,0.07240496,0.057271387,0.0037283015,0.0130904475,5.04,2
-2.7544146,-0.0845534,0.06916472,0.054078605,0.0037242013,0.012992653,5.16,2
-2.623461,-0.081319846,0.06607696,0.051037233,0.0037210668,0.012896262,5.279999999999999,2
-2.4984078,-0.07823179,0.063133806,0.04813911,0.0037186285,0.012801373,5.4,2
-2.3789568,-0.07528123,0.060328204,0.045377888,0.0037167277,0.012707966,5.52,2
-2.2648134,-0.07246258,0.057654426,0.042747032,0.0037151254,0.012616139,5.64,2
-2.155738,-0.06976875,0.055105716,0.040240116,0.0037136227,0.012525933,5.76,2
-2.051471,-0.06719479,0.05267656,0.037851233,0.0037121798,0.012437263,5.88,2
-1.9517682,-0.06473403,0.050361,0.03557472,0.0037106273,0.012350243,6.0,2
-1.85641,-0.06238134,0.0481539,0.033404924,0.003708836,0.012264816,6.12,2
-1.7651888,-0.06013196,0.04605004,0.03133727,0.0037066964,0.012180966,6.24,2
-1.6779093,-0.057980765,0.04404501,0.02936668,0.0037042184,0.01209871,6.359999999999999,2
-1.5943598,-0.055923406,0.042134147,0.02748911,0.0037012429,0.012018027,6.48,2
-1.514381,-0.05395494,0.040312782,0.025699688,0.0036977697,0.011938873,6.6,2
-1.4377999,-0.05207221,0.03857732,0.023994321,0.0036936896,0.011861234,6.72,2
-1.364459,-0.05027038,0.03692386,0.022369303,0.003689052,0.01178506,6.84,2
-1.2941934,-0.048545945,0.035348065,0.020820891,0.0036837975,0.011710383,6.96,2
-1.2268575,-0.046896104,0.03384708,0.019345863,0.0036779062,0.011637112,7.08,2
-1.1623168,-0.04531621,0.032417,0.017940506,0.0036712883,0.011565251,7.199999999999999,2
-1.1004562,-0.04380399,0.03105474,0.01660137,0.0036640137,0.011494727,7.319999999999999,2
-1.0411367,-0.04235603,0.029757809,0.015326093,0.003656072,0.011425525,7.439999999999999,2
-0.98422724,-0.040969256,0.028522674,0.014111283,0.0036473346,0.011357628,7.56,2
-0.9296312,-0.039641313,0.02734669,0.0129545145,0.00363797,0.01129097,7.68,2
-0.87724376,-0.0383689,0.026226992,0.011852844,0.003627869,0.011225546,7.8,2
-0.82696813,-0.037150674,0.02516178,0.010804164,0.0036170515,0.011161299,7.92,2
-0.77867943,-0.03598279,0.024147931,0.009805726,0.003605617,0.011098178,8.04,2
-0.7323172,-0.03486358,0.023183573,0.008855164,0.0035933368,0.011036171,8.16,2
-0.6877727,-0.033791024,0.02226624,0.007950881,0.003580499,0.010975243,8.28,2
-0.6449672,-0.03276288,0.021393841,0.0070902226,0.003566935,0.010915322,8.4,2
-0.60383826,-0.031777278,0.02056443,0.0062715607,0.003552714,0.010856443,8.52,2
-0.5642832,-0.030832037,0.019776313,0.005493201,0.0035378262,0.010798502,8.64,2
-0.5262314,-0.029925464,0.019027362,0.004752554,0.003522222,0.010741524,8.76,2
-0.48964056,-0.029056128,0.018316217,0.004048789,0.0035061003,0.010685439,8.879999999999999,2
-0.45442808,-0.028222002,0.017640783,0.003379669,0.0034893018,0.010630202,9.0,2
-0.42052546,-0.027421657,0.016999776,0.0027441713,0.0034718663,0.010575848,9.12,2
-0.38788027,-0.026653424,0.016391318,0.0021403783,0.0034539136,0.01052231,9.24,2
-0.35644212,-0.025916262,0.015814643,0.0015671392,0.003435254,0.01046951,9.36,2
-0.32614458,-0.025208412,0.01526758,0.0010229199,0.0034161368,0.010417469,9.48,2
-0.29694125,-0.024528593,0.014749505,0.00050634635,0.0033964126,0.010366144,9.6,2
-0.26878175,-0.023875527,0.014258544,1.6555412e-05,0.0033762108,0.010315544,9.72,2
-0.24162175,-0.023248613,0.013793816,-0.000447891,0.0033554316,0.010265603,9.84,2
-0.21540888,-0.022645712,0.013354366,-0.00088830333,0.0033340952,0.010216323,9.96,2
-0.19011088,-0.02206667,0.012938906,-0.0013052569,0.0033124005,0.010167651,10.08,2
-0.16567534,-0.02150991,0.012546152,-0.0017003495,0.0032901086,0.010119582,10.2,2
-0.14207609,-0.02097448,0.012175112,-0.0020745401,0.003267379,0.010072062,10.32,2
-0.11927081,-0.020459546,0.0118250875,-0.0024280206,0.0032442114,0.010025127,10.44,2
-0.09721314,-0.01996427,0.011495527,-0.002762229,0.0032206061,0.009978697,10.56,2
-0.075888984,-0.019487226,0.01118463,-0.0030783478,0.0031965629,0.009932792,10.68,2
-0.055241905,-0.019028682,0.010892324,-0.003376569,0.0031720418,0.009887405,10.8,2
-0.03526386,-0.01858688,0.01061758,-0.0036577233,0.0031471625,0.009842461,10.92,2
-0.015916545,-0.018161401,0.010359259,-0.003923249,0.0031218554,0.00979798,11.04,2
0.0028342875,-0.017751355,0.010116663,-0.0041730506,0.0030961302,0.009753923,11.16,2
0.021012822,-0.017356528,0.009889792,-0.0044082142,0.0030701265,0.009710299,11.28,2
0.03863115,-0.016975645,0.009677837,-0.004629315,0.0030437447,0.009667092,11.4,2
0.0557336,-0.016608344,0.009478961,-0.0048373765,0.0030169946,0.00962423,11.52,2
0.072340325,-0.01625439,0.009294268,-0.0050318865,0.002989886,0.009581785,11.64,2
0.088457376,-0.01591253,0.009122176,-0.0052146353,0.0029624493,0.00953966,11.76,2
0.10412304,-0.015582823,0.008962062,-0.0053856224,0.0029347138,0.009497915,11.88,2
0.1193494,-0.015264109,0.008813925,-0.00554536,0.00290666,0.009456482,12.0,2
-45.43752,-1.3395524,1.1905787,1.1698878,0.1219776,0.021161903,0.0,3
-40.82763,-1.2146522,1.0816641,1.057871,0.104237646,0.024476396,0.12,3
-36.923035,-1.1083618,0.98827636,0.9619432,0.08987383,0.027108189,0.24,3
-33.572113,-1.0165817,0.90706164,0.87869626,0.07809839,0.029181445,0.36,3
-30.66359,-0.936366,0.83561593,0.8056543,0.06833862,0.030799601,0.48,3
