tB,tS,tP,tV,t,Run
104.85251,317.95743,1.7406106,3.83,33.0,4
113.71167,290.72418,2.0173743,4.1600003,36.0,4
122.14383,261.39944,2.3174243,4.4900007,39.0,4
129.85675,231.33705,2.650621,4.8200006,42.0,4
136.4429,202.25925,3.036819,5.150001,45.0,4
141.40198,176.2091,3.505115,5.4800014,48.0,4
144.22508,155.26778,4.086253,5.8100014,51.0,4
144.56921,140.86806,4.7947474,6.140001,54.0,4
142.4864,132.83559,5.6060166,6.4700003,57.0,4
138.54817,128.96283,6.4497795,6.8,60.0,4
133.67145,126.06896,7.2412806,7.1299996,63.0,4
128.7033,121.96766,7.931915,7.46,66.0,4
124.12566,116.34312,8.52766,7.7900004,69.0,4
120.08114,109.99444,9.06348,8.120001,72.0,4
116.546814,103.81008,9.571967,8.450001,75.0,4
113.45587,98.352264,10.071228,8.780002,78.0,4
110.737915,93.87232,10.566968,9.110002,81.0,4
108.3229,90.41611,11.058081,9.440002,84.0,4
106.13876,87.9007,11.541036,9.770002,87.0,4
104.11122,86.16296,12.012434,10.100002,90.0,4
102.165375,84.99499,12.470072,10.430003,93.0,4
100.227005,84.16957,12.913059,10.760003,96.0,4
98.222885,83.45746,13.341319,11.090004,99.0,4
96.080154,82.63537,13.754769,11.420005,102.0,4
93.725746,81.48993,14.152238,11.750006,105.0,4
91.08788,79.82269,14.530031,12.080007,108.0,4
88.10274,77.46263,14.880146,12.410007,111.0,4
84.72968,74.29598,15.188399,12.740008,114.0,4
80.97859,70.31437,15.433429,13.070009,117.0,4
76.94409,65.669655,15.588877,13.40001,120.0,4
72.825615,60.693398,15.631205,13.730011,123.0,4
68.89772,55.833256,15.55248,14.060012,126.0,4
65.41932,51.510624,15.370257,14.390014,129.0,4
62.533543,47.98981,15.124582,14.720015,132.0,4
60.235653,45.342934,14.86222,15.050015,135.0,4
58.421543,43.4975,14.620082,15.380016,138.0,4
56.959473,42.3096,14.418158,15.710017,141.0,4
55.735634,41.621414,14.2617235,16.040018,144.0,4
54.66755,41.294804,14.147216,16.37002,147.0,4
53.700294,41.223206,14.067391,16.70002,150.0,4
52.798477,41.33055,14.014485,17.030022,153.0,4
51.939137,41.56553,13.981686,17.360022,156.0,4
51.107105,41.89426,13.9635515,17.690023,159.0,4
50.29193,42.295464,13.955996,18.020023,162.0,4
49.486256,42.756176,13.956044,18.350025,165.0,4
48.684723,43.268974,13.961578,18.680025,168.0,4
47.883385,43.82989,13.971118,19.010027,171.0,4
47.07926,44.437866,13.983641,19.340027,174.0,4
46.270317,45.092785,13.998433,19.670029,177.0,4
45.455124,45.79556,14.015003,20.00003,180.0,4
44.632923,46.54733,14.033013,20.33003,183.0,4
43.803482,47.349392,14.052216,20.660032,186.0,4
42.967007,48.20253,14.072442,20.990032,189.0,4
42.12415,49.10733,14.093562,21.320034,192.0,4
41.275856,50.06364,14.11548,21.650034,195.0,4
40.423397,51.07084,14.138122,21.980034,198.0,4
20.910343,-16.655691,0.95397633,0.2,0.0,5
7.710225,404.21103,1.6319134,0.53000003,3.0,5
20.816307,432.88672,0.7734673,0.86000013,6.0,5
