,Model,Data pts/run,Data pts/interval,Runs,Noise Lvl,Reg weight,Layers,Hid Nodes,Lrn rate,Activ Func,Euler steps,Epochs,MSE Train,Sim Time,MSE true alldat,MSE noisy alldat,MAE true alldat,MSE_dy pred alldat,MAE_dy pred alldat,MSE_dy dat alldat,MAE_dy dat alldat,stop criteria,MSE fitdat,MAE fitdat,MSE_dy dat fitdat ,MAE_dy dat fitdat,MSE_dy pred fitdat,MAE_dy pred fitdat
45,vdp,10,10,5,0.05,1.00E-06,2,15,0.1,tanh,40,339,0.005037281,262.4841547,1.307123377,1.38417099,0.786342971,1.499319668,0.675619946,2.325080035,0.847613556,converge,1.389559021,1.179514457,2.146164511,0.809044004,7.678098512,5.506646194
46,vdp,10,10,5,0.05,1.00E-06,1,20,0.1,tanh,40,452,0.005397818,423.4353735,1.535568864,1.603943787,0.852876647,1.449443286,0.776619319,2.113819894,0.961868588,converge,1.493419952,1.279314971,2.024193407,0.926825199,9.986773885,6.619373337
47,vdp,10,10,5,0.05,1.00E-06,2,20,0.1,tanh,40,378,0.005401086,462.5362844,1.36071209,1.440739136,0.802929132,1.286435467,0.611858423,2.370069545,0.821443022,converge,1.331778564,1.204393699,2.244622001,0.806184892,6.705258028,5.255163219
48,vdp,10,4,5,0.1,1.00E-06,1,10,0.1,tanh,40,479,0.012478044,173.9223065,1.088444686,1.42526947,0.718517555,5.134825396,1.142209187,9.048660246,2.005194468,converge,1.534601593,1.077776333,9.124984025,1.962351439,28.26895126,7.898242309
49,vdp,10,4,5,0.1,1.00E-06,2,10,0.1,tanh,40,406,0.012295862,201.2755578,1.291803463,1.612858582,0.784282955,6.369673029,1.149098207,9.193772489,1.868251267,converge,1.549065552,1.176424433,8.626188155,1.728121939,32.42846396,7.912590913
50,vdp,10,4,5,0.1,1.00E-06,1,15,0.1,tanh,40,317,0.012617069,122.7436435,1.130426448,1.503116455,0.713760019,3.162883531,1.032376083,10.13815599,1.993473903,converge,1.503039246,1.070640029,9.950713176,2.019242066,21.88819674,8.316514991
51,vdp,10,4,5,0.1,1.00E-06,2,15,0.1,tanh,40,194,0.012700561,96.64931321,0.88452421,1.223763733,0.676004929,3.823048289,1.018998287,6.582051891,1.589517488,converge,1.475961304,1.014007393,5.098535621,1.431715676,17.95787749,7.469750422
52,vdp,10,4,5,0.1,1.00E-06,1,20,0.1,tanh,40,509,0.012679217,194.0585995,0.960243323,1.287554779,0.687205081,5.399666545,1.202908176,12.49644977,2.455850967,converge,1.491883698,1.030807622,12.70778339,2.466638042,28.08873926,8.266124373
53,vdp,10,4,5,0.1,1.00E-06,2,20,0.1,tanh,40,275,0.012504851,139.6536503,1.331470614,1.662775879,0.805043447,2.299806355,0.933481216,8.240958872,1.864948333,converge,1.44848175,1.20756517,6.831976875,1.71510793,21.59119356,7.993382829
54,vdp,10,7,5,0.1,1.00E-06,1,10,0.1,tanh,40,572,0.015392413,333.8917267,16.83119878,17.09961304,1.607325436,5789533.138,272.8612257,6.041419768,1.414768881,converge,1.368967438,2.410988154,4.919083193,1.340939781,18.42489355,7.918284344
55,vdp,10,7,5,0.1,1.00E-06,2,10,0.1,tanh,40,442,0.014253038,307.7571883,1.420532772,1.720255432,0.812236727,2.536051283,0.909445757,7.425606714,1.759271346,converge,1.416916046,1.218355091,6.261700057,1.647319928,20.81858356,7.881178431
56,vdp,10,7,5,0.1,1.00E-06,1,15,0.1,tanh,40,584,0.01449007,390.5799923,1.34160587,1.663353882,0.766630335,2.316563889,0.914343818,6.897671834,1.675932984,converge,1.399788513,1.149945503,6.221615476,1.653391195,17.74808054,8.16155273
57,vdp,10,7,5,0.1,1.00E-06,2,15,0.1,tanh,40,328,0.014771837,287.4799421,0.923862961,1.262079163,0.669698434,1.873430342,0.770897742,6.037269136,1.369500959,converge,1.333505249,1.004547651,4.710959892,1.264181468,14.3332971,6.975207256
58,vdp,10,7,5,0.1,1.00E-06,1,20,0.1,tanh,40,532,0.01494233,355.9919367,1.252384534,1.652719116,0.79960364,2.734941898,1.066451697,8.240723505,1.87414149,converge,1.402472229,1.199405459,7.297530697,1.85267911,20.35224348,9.009435706
